"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5174","shouldRetrieveSpecificBookByID()","","Tue Apr 22 08:03:16 GMT 2025","passed","Tue Apr 22 08:03:21 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","shouldRetrieveSpecificBookByID"
"","498","getAuthorDetailsWithEdgeCaseInvalidIds(int) [3] 2147483647","","Tue Apr 22 08:03:22 GMT 2025","passed","Tue Apr 22 08:03:22 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","getAuthorDetailsWithEdgeCaseInvalidIds"
"","1289","createBookWithMissingFields()","","Tue Apr 22 08:03:33 GMT 2025","failed","Tue Apr 22 08:03:34 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","createBookWithMissingFields"
"","549","getAuthorDetailsWithEdgeCaseInvalidIds(int) [2] -1","","Tue Apr 22 08:03:23 GMT 2025","passed","Tue Apr 22 08:03:23 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","getAuthorDetailsWithEdgeCaseInvalidIds"
"","1157","deleteNonExistingAuthor()","","Tue Apr 22 08:03:31 GMT 2025","failed","Tue Apr 22 08:03:32 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteNonExistingAuthor"
"","5408","shouldRetrieveAuthorDetailsByID()","","Tue Apr 22 08:03:16 GMT 2025","passed","Tue Apr 22 08:03:22 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","shouldRetrieveAuthorDetailsByID"
"","1694","deleteExistingBook()","","Tue Apr 22 08:03:34 GMT 2025","failed","Tue Apr 22 08:03:35 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteExistingBook"
"","995","shouldRetrieveBooksList()","","Tue Apr 22 08:03:21 GMT 2025","passed","Tue Apr 22 08:03:22 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","shouldRetrieveBooksList"
"","1574","updateAuthorDetailsSuccessfully()","","Tue Apr 22 08:03:32 GMT 2025","failed","Tue Apr 22 08:03:34 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","updateAuthorDetailsSuccessfully"
"","1574","deleteExistingAuthor()","","Tue Apr 22 08:03:32 GMT 2025","failed","Tue Apr 22 08:03:33 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteExistingAuthor"
"","456","deleteBookWithInvalidId(int) [1] -1","","Tue Apr 22 08:03:34 GMT 2025","failed","Tue Apr 22 08:03:34 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteBookWithInvalidId"
"","470","deleteAuthorWithInvalidId(int) [1] -1","","Tue Apr 22 08:03:31 GMT 2025","failed","Tue Apr 22 08:03:31 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteAuthorWithInvalidId"
"","1252","deleteNonExistingBook()","","Tue Apr 22 08:03:34 GMT 2025","failed","Tue Apr 22 08:03:35 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteNonExistingBook"
"","451","deleteAuthorWithInvalidId(int) [2] 0","","Tue Apr 22 08:03:31 GMT 2025","failed","Tue Apr 22 08:03:32 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","deleteAuthorWithInvalidId"
"","1659","createAuthorAndRetrieveItSuccessfully()","","Tue Apr 22 08:03:32 GMT 2025","failed","Tue Apr 22 08:03:34 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","createAuthorAndRetrieveItSuccessfully"
"","1290","createBookWhenIdAlreadyExisted()","","Tue Apr 22 08:03:33 GMT 2025","failed","Tue Apr 22 08:03:34 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","createBookWhenIdAlreadyExisted"
"","1101","createAuthorWhenIdAlreadyExisted()","","Tue Apr 22 08:03:33 GMT 2025","failed","Tue Apr 22 08:03:34 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","createAuthorWhenIdAlreadyExisted"
"","732","shouldRetrieveAuthorsList()","","Tue Apr 22 08:03:24 GMT 2025","passed","Tue Apr 22 08:03:25 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","shouldRetrieveAuthorsList"
"","1085","createAuthorWhenFieldsAreAbsent()","","Tue Apr 22 08:03:31 GMT 2025","failed","Tue Apr 22 08:03:32 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","createAuthorWhenFieldsAreAbsent"
"","1765","createBookAndRetrieveItSuccessfully()","","Tue Apr 22 08:03:31 GMT 2025","failed","Tue Apr 22 08:03:33 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","createBookAndRetrieveItSuccessfully"
"","4988","getBookWithEdgeCaseInvalidIds(int) [1] 0","","Tue Apr 22 08:03:16 GMT 2025","passed","Tue Apr 22 08:03:21 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","getBookWithEdgeCaseInvalidIds"
"","1774","updateExistingBookSuccessfully()","","Tue Apr 22 08:03:31 GMT 2025","failed","Tue Apr 22 08:03:33 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","updateExistingBookSuccessfully"
"","519","deleteBookWithInvalidId(int) [2] 0","","Tue Apr 22 08:03:34 GMT 2025","failed","Tue Apr 22 08:03:34 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","deleteBookWithInvalidId"
"","484","getBookWithEdgeCaseInvalidIds(int) [2] -1","","Tue Apr 22 08:03:21 GMT 2025","passed","Tue Apr 22 08:03:22 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","getBookWithEdgeCaseInvalidIds"
"","513","getAuthorDetailsWithEdgeCaseInvalidIds(int) [1] 0","","Tue Apr 22 08:03:22 GMT 2025","passed","Tue Apr 22 08:03:23 GMT 2025","","com.bookstore.api.tests.AuthorApiTest","com.bookstore.api.tests.AuthorApiTest","getAuthorDetailsWithEdgeCaseInvalidIds"
"","516","getBookWithEdgeCaseInvalidIds(int) [3] 2147483647","","Tue Apr 22 08:03:22 GMT 2025","passed","Tue Apr 22 08:03:22 GMT 2025","","com.bookstore.api.tests.BookApiTest","com.bookstore.api.tests.BookApiTest","getBookWithEdgeCaseInvalidIds"
